Group,Team1,Team1 Runs,Wickets,Overs,Team2,Team2 Runs,Wickets,Overs,Result
A,Lanka Lions Blue,80,5,5.0,Matrix,67,5,5.0,Lanka Lions Blue won
A,Lanka Lions Blue,30,5,5.0,Jolly Boys Yellow,32,3,3.4,Jolly Boys Yellow won
