Group,Team1,Team1 Runs,Wickets,Overs,Team2,Team2 Runs,Wickets,Overs,Result
A,Lanka Lions Blue,60,2,5.0,Matrix,35,5,5.0,Lanka Lions Blue won
A,Lanka Lions Blue,80,5,5.0,Jolly Boys Yellow,88,2,5.0,Jolly Boys Yellow won
A,Lanka Lions Blue,42,5,5.0,Kurumba B,45,2,3.5,Kurumba B won
A,Matrix,65,1,5.0,Jolly Boys Yellow,66,0,5.0,Jolly Boys Yellow won
A,Matrix,88,5,5.0,Kurumba B,90,1,4.3,Kurumba B won
A,Jolly Boys Yellow,89,5,5.0,Kurumba B,90,0,4.5,Kurumba B won
B,Strikers,87,5,5.0,Lanka Lions Gold,42,1,5.0,Strikers won
B,Strikers,66,4,4.2,Jolly Boys Red,65,1,5.0,Strikers won
B,Strikers,65,0,5.0,Challengers Green,70,0,3.3,Challengers Green won
