Group,Team1,Team1 Runs,Wickets,Overs,Team2,Team2 Runs,Wickets,Overs,Result
B,Strickers,100,5,5.0,Lanka Lions Gold,105,2,4.1,Lanka Lions Gold won
A,Lanka Lions Blue,80,5,5.0,Matrix,70,5,5.0,Lanka Lions Blue won
D,VA Legends Blue,66,2,3.2,Titans Gray,60,5,5.0,VA Legends Blue won
A,Lanka Lions Blue,45,2,5.0,Jolly Boys Yellow,50,2,4.2,Jolly Boys Yellow won
